Ciudad,Clave cd,Entidad,Derecho,MA,Sociedad,Político,Gobierno,Mercado laboral,Economía,Precursores,RI,Innovación,GENERAL
La Piedad-Pénjamo,26,Guanajuato,62.3942982371,50.4088929056,37.0930056903,37.3143009404,44.7668717237,46.7594428181,42.4901714486,22.6223649711,10.4421171307,8.7939966327,36.5237277819
San Francisco del Rincón,15,Guanajuato,68.5433415658,45.5244501609,51.7971569334,43.3322472801,44.9370664464,38.447059444,40.1659145543,27.381516066,12.5950510257,8.0627724701,38.6814200607
Salamanca,66,Guanajuato,64.5038250101,60.3519884146,52.6464517647,44.3352749306,56.0760367338,51.5788032341,38.5429854002,29.5939573573,11.051598883,6.1463481597,42.1201499626
Moroléon-Uriangato,78,Guanajuato,68.7594591251,49.1679548256,47.4478701718,40.1323863438,35.8779378964,59.2610787,41.438076599,32.3085016591,12.3007371634,6.1674133689,39.4755638836
Acapulco,16,Guerrero,30.6823019662,64.9116594103,49.7855562929,23.3595671275,40.5139771546,36.9687442516,47.2891335952,34.8700166091,23.329650547,3.9544176311,36.624288373
Chilpancingo,77,Guerrero,57.7102377025,57.1373007669,56.8210186498,41.8974180829,36.1264466349,40.4632181511,49.4341103423,32.0002283684,17.1361757571,4.6164728714,40.0017015109
Tula,19,Hidalgo,59.9571093928,61.4745990012,42.9922012744,70.9251191612,44.0260980561,59.9728403809,40.2281743848,33.7402249894,4.4948005989,6.7491704674,42.1838540818
Tulancingo,18,Hidalgo,64.7693052432,38.9744871517,45.9647184254,67.2057890847,33.8261305653,38.3906342922,40.6418237452,26.4268634906,3.7766950184,8.3564417945,36.7158340012
Pachuca,17,Hidalgo,64.3436236463,44.1216279454,53.9933767883,71.2332934462,51.1337237884,45.0770661201,46.1210937701,36.2776083644,11.4765587637,14.3215299429,44.0107717603
Guadalajara,20,Jalisco,59.5732207472,63.0551653994,55.6988261725,45.6329858662,58.054058754,45.6151249519,52.0573685189,60.6239054031,38.5182449358,19.557062806,50.9469914011
Ocotlán,22,Jalisco,60.4203672741,54.5721621099,52.2282894692,42.6293037728,50.5547432591,44.1161805038,41.8692929238,29.4523317109,19.2241066527,12.4092728502,41.3308920306
Puerto Vallarta,21,Jalisco,56.0626331557,70.2861257568,53.5942645374,36.9342829738,67.0785419479,45.7669467066,41.2057754293,53.2212153759,52.9338001583,16.9773189795,50.6972239273
Toluca,23,México,51.9916778626,54.9193897962,48.4719044964,49.2693851777,38.3345741515,37.7466270223,52.7022399732,35.9443510754,25.8754940363,12.3998333343,41.1831248024
Zamora-Jacona,25,Michoacán,62.430373161,59.1283684598,49.2551397353,29.9290088535,53.7401975995,48.2195273032,62.2813053708,30.67194211,8.1832388945,16.415027902,42.7132888006
Morelia,24,Michoacán,63.5558961111,63.056833892,48.7848392417,40.9727860119,55.6155130608,50.3922502412,49.9196931918,40.334122407,33.1104677483,15.7615701715,46.8144560445
Uruapan,67,Michoacán,64.3520154965,55.6050911029,49.7364533093,29.5290357175,54.8075009726,48.0912380073,53.3204855389,32.6869726465,8.1826875193,10.7228488678,41.5575604
Cuautla,28,Morelos,48.4228630472,62.7652576543,50.6918573792,45.5070925908,44.3986546495,40.1156290933,45.8244077453,36.4403913353,10.591765774,27.5857610451,41.5644418537
Cuernavaca,27,Morelos,44.4173557445,71.9499381952,54.0593938529,57.2692876302,55.6440440592,35.1426836364,48.4426974422,38.891836308,19.8208253979,27.4775767593,45.8208949022
Tepic,29,Nayarit,47.0361442746,66.7245090162,55.3725086672,61.4467564865,55.799155148,47.7626297648,45.1889770419,42.5635800643,24.0679142808,11.4873368867,46.3282116222
Monterrey,30,Nuevo León,61.4487204894,60.1309928488,59.8094787249,14.7900778669,61.3632149665,48.8790427495,53.4284621854,64.6343936898,46.8970297883,46.0607095164,53.0673239021
Oaxaca,31,Oaxaca,63.851417225,34.2191039306,49.2212638091,59.3487251072,45.0737051282,37.9312829442,48.1770946697,46.0641375944,22.7885248789,16.4629067532,42.7858566966
Tehuantepec-Salina Cruz,32,Oaxaca,65.8981265502,65.6924839964,42.9845398884,46.4996865156,49.7327743348,77.2047545347,39.8295156755,33.1140863784,15.5300206367,9.4730332624,44.4889793315
Puebla-Tlaxcala,33,Puebla,61.0535244044,66.1406755934,53.6728367836,44.6845231406,42.8826841917,44.2933164295,46.8629107121,44.3689952041,29.5343192737,30.3881635296,46.7772046429
Tehuacán,34,Puebla,57.7694987589,60.6846548811,47.0654012851,40.973839423,41.4202901969,41.8549082023,39.8122933236,35.625066086,12.3272331595,12.1860034408,39.4865199549
Querétaro,35,Querétaro,69.6753204742,58.6111275616,54.9795902103,47.5013091314,67.472719703,37.2228997163,57.4480844799,45.5109823593,57.0988826354,37.0068484162,54.0676310289
San Juan del Río,68,Querétaro,71.5756160476,65.7815791532,45.337888631,45.6789813558,55.938445142,34.4568443942,35.0541363197,32.4450390623,25.7945914446,20.5669348855,43.8474445045
Cancún,36,Quintana Roo,59.7664280779,74.2967080525,61.1463261671,35.8295229408,46.6280733781,43.3645124692,65.5648225316,67.4354202789,56.7613169516,8.4733047744,53.4492588916
Chetumal ,76,Quintana Roo,49.1706123225,58.317903553,54.4097319229,44.5310713368,37.946594437,53.930512647,46.0679414909,45.6336928848,8.004620088,6.3116956826,41.0165999911
Rioverde-Ciudad Fernández,38,San Luis Potosí,65.3236808199,41.3212938409,51.2625355372,41.1082582611,49.4398357239,37.5639262203,38.3128855874,27.9555428377,11.3536202037,4.2154702203,37.584007509
San Luis Potosí-Soledad,37,San Luis Potosí,63.2793187932,49.3494905557,52.9243721048,39.3421213851,59.2496456225,45.8214356872,53.5190047396,50.4299917897,30.1856991146,21.4814946241,47.5347889717
